MaCK,SanCK,GiaHienTai,GiaSoSach,P/B,CaoNhat52Tuan,ThapNhat52Tuan,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,TenCongTy,TenQuocTe,DiaChi,DienThoai,Fax,Website,,,,,
KAC,HASTC,8.9000,0,65828%,14.70,8.90,0.16,55.6,72%,116%,0.39,23999999,23999999,0,11759999,213599982,77111,0,317855,220009,537864,CTCP Đầu tư Địa ốc Khang An,Khang An Investment Real Estate Joint Stock Company,Căn hộ số LM81-39.OT07 tòa nhà Landmark 81 Vinhomes Central Park, số 720A Điện Biên Phủ - P. 22 - Q. Bình Thạnh - Tp. HCM,(84.28) 3514 4751,028 35125367,http://www.khangan.com,,,,
KBE,HASTC,17.0000,0,97032%,20.00,16.91,2.84,6.0,996%,1623%,-0.12,1231060,1231060,0,603219,20928020,126248,290,21566,13575,35141,CTCP Sách Thiết bị Trường học Kiên Giang,Kien Giang Book And Equipment JSC,Lô E16 số 30-31-32 Đường 03 tháng 02 - P.Vĩnh Lạc - Tp.Rạch Giá - T.Kiên Giang,(84.297) 386 2125,0297 386 7517,http://www.donghobooks.vn/,,,,,
KCB,HASTC,8.4000,0,100478%,10.30,1.60,0.25,33.6,211%,304%,2.22,8000000,8000000,0,3920000,67199997,92299,-4757,66890,29772,96662,CTCP khoáng Sản và Luyện Kim Cao Bằng,Cao Bang Mineral and Metallurgical JSC,Số 52 phố Kim Đồng - P.Hợp Giang - TP.Cao Bằng - T.Cao Bằng,(84.206) 350 5505,026 385 2579,http://cmamc.com.vn,,,,,
KCE,HASTC,13.8000,0,68828%,16.36,6.93,1.70,8.1,720%,848%,0.26,1500000,1500000,0,735000,20700000,40631,0,30075,5346,35422,CTCP Bê tông Ly tâm Điện Lực Khánh Hòa,Khanh Hoa Power Centrifugal Concrete JSC,11 Lý Thánh Tôn - P.Vạn Thạnh - Tp.Nha Trang - Khánh Hòa,(84.258) 2220696,+84-(0)58-6256699,http://www.kpceco.com.vn,,,,,
KDM,HASTC,6.8000,0,61987%,10.80,1.90,-0.18,-37.8,-135%,-160%,1.86,7100000,7100000,0,3332000,48280001,5033,0,77897,14813,92710,CTCP Tập đoàn Đầu Tư Lê Gia,Le Gia Investment Group JSC,Tầng 3 tòa nhà 86 phố Dịch Vọng - P. Dịch Vọng Hậu - Q. Cầu Giấy - Tp. Hà Nội,(84.35) 532 4666,3513551223,hpvietnam.net,,,,,
KGM,HASTC,8.1000,0,72516%,11.50,4.93,0.94,8.6,214%,838%,0.69,25430000,25430000,0,0,205983010,3693398,0,283926,828720,1112646,CTCP Xuất nhập khẩu Kiên Giang,Kien Giang Import & Export Joint Stock Company,Số 85-87 - Đường Lạc Hồng - P. Vĩnh Lạc - Tp. Rạch Giá - T. Kiên Giang,(84.297) 387 0116 - 386 2491,0297 3862 309,http://www.kigimex.com.vn/,,,,,
KHA,HASTC,26.8000,0,104933%,51.05,20.80,7.90,3.4,2893%,3094%,1.12,11416569,12768439,1351870,6918951,342194155,52961,0,291614,20261,311876,CTCP Đầu tư và Dịch vụ Khánh Hội,Khanh Hoi Investment and Services Corporation,Số 360A Bến Vân Đồn - P. 1 - Q. 4 - Tp. Hồ Chí Minh,(84.28) 3945 1027,028 3945.10.28,http://www.khahomex.com.vn,,,,,
KHB,HASTC,2.2000,0,44534%,5.10,0.40,-0.01,-220.0,-13%,-20%,2.32,29075499,29075499,0,14246994,63966099,0,0,143495,67065,210560,CTCP Khoáng sản Hòa Bình,Hoa Binh Minerals Joint Stock Company,Xóm Chùa - X. Thống Nhất - Tp. Hòa Bình - T. Hòa Bình,(84.243) 562 5682 - (84) 909 415 538,+84-(0)218-389.20.28,http://khb.com.vn/,,,,,
KHD,HASTC,9.2000,0,104545%,12.00,6.80,1.26,7.3,682%,1429%,1.94,4894357,4894357,0,0,45028083,117978,2636,43092,47236,90327,CTCP Khai thác Chế biến Khoáng sản Hải Dương,Haiduong Mineral Eineal Processing JSC,Số 87 Vũ Mạnh Hùng - KDC số 2 - P. Phú Thứ - TX. Kinh Môn -. Hài Dương,(84.220) 382 1338 - 382 1297,3203821557,http://khoangsanhaiduong.com,,,,,
KHL,HASTC,0.8000,0,21164%,1.60,0.20,-0.08,-10.0,-88%,-218%,1.36,12000000,12000000,0,5880000,9600000,121,0,45339,66878,112216,CTCP khoáng Sản và Vật liệu Xây dựng Hưng Long,Hung Long Mineral and Building Material JSC,Thôn An Biên 1 - X.Lê Lợi - H.Hoành Bồ - T.Quảng Ninh,(84.203) 369 1092,0333.692 555,http://khoangsanhunglong.vn/,,,,,
KHS,HASTC,20.2000,0,110746%,22.20,10.40,2.56,7.9,489%,1402%,1.09,12090969,12090969,0,0,244237583,1165372,30932,220574,412131,632705,CTCP Kiên Hùng,Kien Hung JSC,Số 14A - Ấp Tân Điền - X.Giục Tượng - H.Châu Thành - Kiên Giang,(84.297) 3912989,(0297) 3912 988,http://www.kihuseavn.com/,,,,,
KHW,HASTC,16.9000,0,147469%,17.92,16.90,1.24,13.6,622%,1078%,0.26,26000000,26000000,0,0,439399990,335215,0,298001,218779,516780,CTCP Cấp thoát nước Khánh Hòa,Khanh Hoa Water Supply And Sewerage JSC,Số 58 Yersin - P. Phương Sài - TP. Nha Trang - T. Khánh Hòa,(84.258) 381 5372 - 382 8807,(058) 3819144,http://ctnkh.com.vn/,,,,,
KIP,HASTC,9.8000,0,53787%,23.00,8.10,0.18,54.4,67%,98%,1.32,9800000,9800000,0,2234400,96040002,294018,3195,178568,81802,260370,CTCP K.I.P Việt Nam,Electrical Devices Joint Stock Company No I,Số nhà 2 ngõ 121B - phố Hữu Nghị - P.Xuân Khanh - H.Sơn Tây - Tp.Hà Nội,(84.24) 3383 8181,2433838405,http://vinakip.vn/,,,,,
KKC,HASTC,30.6000,0,198444%,29.80,4.50,4.11,7.4,1792%,2662%,1.92,5200000,5200000,0,2548000,159120002,491699,0,80196,38941,119137,CTCP Kim Khí KKC,KKC Metal JSC,Số 6 Nguyễn Trãi - P.Máy Tơ - Q.Ngô Quyền - Tp.Hải Phòng,(84.225) 382 6832,(84) 2253 836425,kkcmetal.com.vn,,,,,
KLB,HASTC,21.3000,0,159312%,29.90,9.60,1.82,11.7,98%,1363%,1.41,332391592,332391592,0,0,7079940656,5099550,605388,4442805,57499254,61942059,Ngân hàng TMCP Kiên Long,Kien Long Commercial Joint Stock Bank,40-42-44 Phạm Hồng Thái - P. Vĩnh Thanh Vân - Tp. Rạch Giá - T. Kiên Giang,(84.297) 386 9950,0297 3877538,www.kienlongbank.com,,,,,
KLF,HASTC,3.6000,0,34384%,6.90,1.50,0.03,120.0,25%,33%,2.17,165352561,165352561,0,81022754,595269204,946626,0,1731781,574400,2306181,CTCP Đầu tư Thương mại và Xuất nhập khẩu CFS,CFS Investment And Import Export Trading JSC,Tầng 05 Tòa nhà FLC Landmark Tower - Lê Đức Thọ - P. Mỹ Đình 2 - Q. Nam Từ Liêm - Tp. Hà Nội,(84.24) 3795 6869,024 37.95.68.69,http://cfscorp.vn,,,,,
KLM,HASTC,19.6000,0,188280%,19.60,9.60,0.00,0.0,0%,0%,0.15,3885000,3885000,0,0,76146001,0,0,40431,21693,62124,CTCP Kim loại màu Nghệ Tĩnh,Nghe Tinh Nonferrous Metal Joint Stock Company,Khối Hợp Xuân - TT.Quỳ Hợp - H.Quỳ Hợp - T.Nghệ An,(84.238) 388 3148,,http://congtykimloaimaunghetinh.com/,,,,,
KMT,HASTC,9.5000,0,80169%,10.50,6.80,0.99,9.6,140%,836%,0.28,10929684,10929684,0,4824815,103831998,2116416,0,129538,645864,775401,CTCP Kim khí Miền Trung,Central Viet Nam Metal Corporation,Số 69 Quang Trung - P. Hải Châu I - Q. Hải Châu - TP. Đà Nẵng,(84.236) 382 1824 - (84.236) 382 2807 - 382 1824,+84-(0)511-382.33.06,http://www.cevimetal.com.vn,,,,,
KRW-X,HASTC,1150.7000,0,N/A,1200.94,1083.68,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,USD/KRW (South Korean won),USD/KRW,,,,,,,,,
KSD,HASTC,3.7000,0,44418%,5.90,3.40,-0.47,-7.9,-527%,-570%,1.50,12000000,12000000,0,5880000,44400001,18832,0,99968,8046,108014,CTCP Đầu tư DNA,DNA Investment JSC,Đường Lê Chân - KCN Châu Sơn - Tp.Phủ Lý - T.Hà Nam,(84.226) 384 8888- 384 0408,+84-(0)351-385.08.69,http://www.hangermetal.com,,,,,
KSE,HASTC,29.0000,0,211063%,31.54,14.61,0.84,34.5,519%,610%,0.71,1476000,1476000,0,0,42804000,0,0,20277,3541,23818,CTCP Xuất khẩu Thủy sản Khánh Hòa,Khanh Hoa Seafoods Exporting Joint Stock Company,Số 50 Võ Thị Sáu - P. Vĩnh Trường - Tp. Nha Trang - T. Khánh Hòa,(84.258) 388 1161 - 388 2767,(058) 3881 675,http://khaspexco.vn/,,,,,
KSH,HASTC,2.2000,0,24859%,4.30,0.50,-0.01,-220.0,-12%,-12%,3.14,57509675,57509675,0,13746215,126521288,1,-610,509218,16892,526110,CTCP DAMAC GLS,DAMAC GLS JSC,Số 99 An Trạch - P. Quốc Tử Giám - Q. Đống Đa - Tp. Hà Nội,(84.24) 3936 4695,04 3936 4696,http://damac.com.vn/,,,,,
KSK,HASTC,0.7000,0,7535%,0.90,0.20,-0.01,-70.0,-11%,-15%,2.48,23888000,23888000,0,11705120,16721600,258,0,221857,99826,321682,CTCP Khoáng sản Luyện kim màu,Mineral Ferrous Metallergy JSC,Km 15 Quốc lộ 21 - X.Thành Lập - H.Lương Sơn - T.Hòa Bình,(84.226) 385 1035 - (84) 963 995 646,(+84)-03.51-385.52.96,http://luyenkimmau.com.vn,,,,,
KSQ,HASTC,3.2000,0,30160%,5.90,1.30,-0.05,-64.0,-50%,-51%,2.31,30000000,30000000,0,14700000,96000001,38378,0,318327,4248,322574,CTCP CNC Capital Việt Nam,CNC Capital Vietnam JSC,A28, BT6, Khu đô thị Mỹ Đình 2 - đường Trần Văn Cẩn - P. Mỹ Đình 2 - Q. Nam Từ Liêm - Hà Nội,(84.24) 3564 3689,024 3569 3690,http://cnccapital.com.vn/,,,
KST,HASTC,22.8000,0,98234%,23.69,14.68,2.59,8.8,605%,1117%,0.09,2996010,2996010,0,1468044,68309026,229770,0,69545,58782,128327,CTCP KASATI,Kasati Joint Stock Company,270A Lý Thường Kiệt - P.14 - Q.10 - Tp.HCM,(84.28) 3865 5343 - 3865 5344,028 38.65.24.87,http://www.kasati.com.vn,,,,,
KSV,HASTC,31.0000,0,237003%,37.90,7.80,1.53,20.3,335%,1171%,1.30,200000000,200000000,0,98000000,6200000000,6410743,306548,2616844,6529263,9146107,Tổng Công ty Khoáng sản TKV - CTCP,Vinacomin - Minerals Holding Corporation,193 Nguyễn Huy Tưởng - P.Thanh Xuân Trung -Q.Thanh Xuân - Hà Nội,(84.24) 6287 6666,(84-4)62883333,http://www.vimico.vn,,,,,
KTB,HASTC,1.9000,0,18500%,1.90,1.90,0.00,0.0,2%,3%,0.00,40200000,40200000,0,19363580,76379999,157912,1454,412891,135479,548369,CTCP Đầu tư Khoáng sản Tây Bắc,Tây Bắc Minerals Investment ., JSC,số 02/660 Lạc Long Quân - P.Nhật Tân - Q.Tây Hồ - TP.Hà Nội,(84.24) 3719 9999,024 3719.2222,http://ktb.com.vn,,,,
KTC,HASTC,11.0000,0,95073%,15.09,7.40,1.34,8.2,321%,1156%,1.32,36473833,36473833,0,0,401212163,5291999,48809,422074,1097143,1519217,CTCP Thương mại Kiên Giang,Kien Giang Trade and Tourism Company Limited,190 Trần Phú - P.Vĩnh Thanh Vân - Tp.Tạch Giá - T.Kiên Giang,(84.297) 386 0794,0297 3866 080,http://www.ktcvn.com.vn/,,,,,
KTL,HASTC,26.5000,0,138021%,27.90,17.75,3.14,8.4,590%,1635%,1.26,19200000,19200000,0,6519500,508800000,966537,0,368551,653099,1021650,CTCP Kim Khí Thăng Long,Thăng Long Metal Wares JSC,Phố Sài Đồng – P.Sài Đồng – Q.Long Biên – Tp.Hà Nội,(84.24) 3875 9304,024 827.66.70,http://tlmw.com.vn,,,,,
KTS,HASTC,14.3000,0,45182%,22.40,8.00,0.61,23.4,69%,191%,1.59,5070000,5070000,0,2484300,72501001,248301,0,160446,287344,447790,CTCP Đường Kon Tum,Kon Tum Sugar Joint Stock Company,Km số 2 - Thôn Kon X.Vinh Quang - Tp.Kon Tum - T.Kon Tum,(84.260) 386 4958,60.3862969,http://www.ktsduongkontum.vn,,,,,
KTT,HASTC,7.9000,0,66498%,16.80,3.20,0.49,16.1,106%,414%,1.61,2955000,2955000,0,1447950,23344500,123865,322,35109,101914,137023,CTCP Đầu tư Thiết bị và Xây lắp Điện Thiên Trường,Thien Truong Electric Company,C4/D21 Khu Đô thị mới Cầu Giấy - đường Dịch Vọng Hậu - P. Dịch Vọng Hậu - Q. Cầu Giấy - Tp. Hà Nội,(84.228) 383 9839 - (84.246) 268 3333,+84-(350)-383.45.78,http://www.dienthientruong.com.vn/,,,,,
KVC,HASTC,3.0000,0,28902%,5.00,0.90,-0.82,-3.7,-582%,-787%,2.71,49500000,49500000,0,24255000,148500000,298410,0,513920,181186,695106,CTCP Sản xuất Xuất nhập khẩu Inox Kim Vĩ,Kim Vi Inox Import Export Prodution Joint Stock Company,Số 117 Võ Văn Bích - Ấp 11 - X. Tân Thạnh Đông - H. Củ Chi - Tp. HCM,(84.28) 3797 9009,028 37979100,http://www.kimvico.com.vn,,,,,
L12,HASTC,6.2000,0,49839%,7.40,3.20,0.52,11.9,109%,422%,0.72,7000000,7000000,0,0,43399999,182964,2964,87067,250395,337462,CTCP Licogi 12,Licogi 12 Joint Stock Company,Số 21 Phố Đại Từ - P. Đại Kim - Q. Hoàng Mai - Tp. Hà Nội,(84.24) 3869 1534,024 38685014,http://www.licogi12.com,,,,,
L14,HASTC,74.0000,0,558912%,84.36,35.33,1339.00,0.1,6%,10%,1.53,26835241,24395674,0,1689520,1805279876,109650,35920,355244,203524,558768,CTCP Licogi 14,Licogi 14 JSC,Số 2068 Đại lộ Hùng Vương - P. Nông Trang - Tp. Việt Trì - T. Phú Thọ,(84.210) 395 3543,+84 (0)2103-95.35.42,http://licogi14.vn/,,,,,
L18,HASTC,15.9000,0,109883%,20.00,7.08,0.45,35.3,65%,314%,0.84,38116528,38116528,0,2646000,606052781,2123464,17291,551404,2118009,2669413,CTCP Đầu tư và Xây dựng Số 18,Investment And Construction JSC No.18,Số 471 Nguyễn Trãi - P.Thanh Xuân Nam - Q.Thanh Xuân - Tp.Hà Nội,(84.24) 3854 0401 - 3552 6921,(+84-4) 385.457.21,http://licogi18.com.vn,,,,,
L35,HASTC,5.2000,0,47316%,7.40,5.20,-2.97,-1.8,-494%,-2703%,0.63,3265155,3265155,0,1599925,16978805,113872,0,35893,160551,196565,CTCP Cơ khí Lắp máy Lilama,Lilama Erection Mechanical Joint Stock Company,72E Hoàng Diệu - Tp.Ninh Bình - T.Ninh Bình,(84.229) 387 1125,+84-(0)30-387.30.74,http://www.lilamaemc.com.vn,,,,,
L40,HASTC,36.0000,0,188383%,47.63,30.10,2.43,14.8,467%,1269%,1.14,3600000,3600000,0,0,129600000,214208,0,72602,115221,187823,Công ty Cổ phần Đầu tư và Xây dựng 40,Công ty Cổ phần Đầu tư và Xây dựng 40,,,,,,,,,
L43,HASTC,6.0000,0,43605%,7.50,2.30,0.06,100.0,6%,45%,1.50,3500000,3500000,0,1715000,21000000,471824,0,48171,342315,390486,CTCP Lilama 45.3,Lilama 45.3 Joint Stock Company,Lô 4K Tôn Đức Thắng - Tp.Quảng Ngãi - T.Quảng Ngãi,(84.255) 371 0321 - 371 0322,+84-(0)55-371.03.13,http://lilama45-3.com,,,,,
L44,HASTC,0.6000,0,N/A,1.50,0.60,-2.71,-0.2,-920%,864%,0.84,3960000,3980000,20000,1960000,2388000,45594,0,-124191,240742,116550,CTCP Lilama 45.4,Lilama 45.4 JSC,KCN Biên Hòa 1 - Xa lộ Hà Nội - P. Bình Đa - Tp. Biên Hòa - T. Đồng Nai,(84.251) 383 8188 - 383 7500 - 383 7243 - 383 7246,2513838008,http://www.lilama454.com.vn,,,,,
L45,HASTC,3.2000,0,37691%,10.60,1.30,0.01,320.0,1%,10%,1.96,4800000,4800000,0,0,15360000,224814,609,40729,481849,522578,CTCP Lilama 45.1,Lilama 45.1 Joint Stock Company,Số 138-140 Điện Biên Phủ - P. Đa Kao - Q.1 - Tp. Hồ Chí Minh,(84.28) 3829 7527,028 820 1455,http://www.lilama45-1.com,,,,,
L61,HASTC,6.6000,0,34003%,14.40,6.60,-0.06,-110.0,-5%,-32%,1.18,7576200,7576200,0,3437350,50002919,684171,0,147073,705245,852318,CTCP Lilama 69-1,Lilama 69.1 Joint Stock company,Số 17 Lý Thái Tổ - P.Suối Hoa - Tp.Bắc Ninh - T.Bắc Ninh,(84.222) 382 1212,+84-(0)241-382.05.84,http://www.lilama69-1.com.vn/,,,,,
L62,HASTC,5.2000,0,38951%,10.65,4.90,0.02,260.0,3%,15%,0.69,8298243,8298243,0,2813490,43150862,263031,161,110777,469068,579844,CTCP Lilama 69-2,Lilama 69 - 2 Joint Stock Company,Số 26 Phố Tản Viên - P. Thượng Lý - Q. Hồng Bàng - Tp. Hải Phòng,(84.225) 352 5195 - 382 4761,0225 3824 562,http://www.lilama69-2.com.vn,,,,,
L63,HASTC,6.8000,0,52388%,16.60,5.90,0.03,226.7,3%,24%,1.00,8279360,8279360,0,0,56299650,0,0,107437,761295,868732,CTCP Lilama 69-3,Lilama 69-3 Joint Stock Company,Số 515 Điện Biên Phủ - P. Bình Hàn - Tp. Hải Dương - T. Hải Dương,(84.220) 385 2584,0220 3853958,http://www.lilama69-3.com.vn,,,,,
LAF,HASTC,14.8000,0,132855%,17.50,7.50,1.90,7.8,1075%,1701%,1.58,14728019,14728019,0,7216729,217974684,392770,0,164099,95653,259753,CTCP Chế biến hàng Xuất khẩu Long An,Long An Food Processing Export Joint Stock Company,Số 81B - Quốc lộ 62 - P. 2 - Tp. Tân An - T. Long An,(84.272) 382 3900 - 382 1501,84723826735- 3829637,http://www.lafooco.vn,,,,,
LAI,HASTC,23.8000,0,146192%,29.20,10.82,2.36,10.1,419%,1452%,0.66,8550000,8550000,0,4189500,203489993,862231,227245,139154,342957,482111,CTCP Đầu Tư Xây dựng Long An IDICO,IDICO Long An Investment Construction JSC,Số 88 - Quốc lộ 1 (Tuyến tránh) - P.6 - Tp.Tân An - T.Long An,(84.272) 382 6497,072.3829337,http://idico-linco.com.vn/,,,,,
LAS,HASTC,13.6000,0,119718%,14.50,5.00,0.23,59.1,142%,200%,1.58,112856400,112856400,0,38137680,1534847083,2630780,0,1282303,523881,1806184,CTCP Supe Phốt phát và Hóa chất Lâm Thao,Lam Thao Fertilizers And Chemicals JSC,Khu Phương Lai 6 - TT.Lâm Thao - H.Lâm Thao - T.Phú Thọ,(84.210) 382 5139 - 382 5135,0210.3825126,http://www.supelamthao.vn,,,,,
LAW,HASTC,13.6000,0,101190%,13.60,13.60,0.59,23.1,236%,438%,0.24,12200000,12200000,0,5978000,165920005,208372,0,163935,140136,304071,CTCP Cấp thoát nước Long An,Long An Water Supply Sewerage JSC,Số 250 Hùng Vương - P.4 - Tp.Tân An - Tỉnh Long An,(84.272) 382 5114,072.3826040,http://www.lawaco.com.vn,,,,,
LBC,HASTC,11.6000,0,49828%,11.60,10.16,0.00,0.0,9%,13%,-0.15,1500000,1500000,0,0,17400001,0,0,34920,16694,51614,CTCP Thương mại - Đầu tư Long Biên,Long Bien Joint Stock Company,Số 561 - Đường Nguyễn Văn Linh - P. Sài Đồng - Q. Long Biên - Hà Nội,(84.24) 3875 0728 - 3875 3589,024 3875 0729,http://haprolongbien.vn,,,,,
LBE,HASTC,24.6000,0,132116%,40.63,20.90,1.57,15.7,786%,845%,0.82,1091800,1095900,4100,539000,26959140,72976,0,20331,1522,21853,CTCP Sách và Thiết bị Trường học Long An,Long An School Book & Equipment JSC,Số 39 Hai Bà Trưng - P.1 - Tp.Tân An - T.Long An,(84.272) 382 2374 - 355 3450,+84-(0)72-383.44.47,www.sachthietbila.com.vn,,,,,
LCC,HASTC,3.1000,-0.1,N/A,3.10,3.10,-10.77,-0.3,-1995%,1057%,0.00,5838999,5838999,0,2861109,18100896,0,0,-595212,910582,315370,CTCP Xi măng Hồng Phong,Hong Phong Cement Joint Stock Company,Đường Phai Vệ - P. Đông Kinh - Tp. Lạng Sơn - T. Lạng Sơn,(84.205) 387 0195 - 371 7615,+84-(0)253-87.29.57,http://www.ximanglangson.com.vn,,,,,
LCD,HASTC,6.8000,0,31467%,6.80,6.80,2.63,2.6,259%,1218%,0.00,1500000,1474000,0,735000,10023200,174034,0,32413,120280,152692,CTCP Lắp máy - Thí nghiệm Cơ điện,Erection - Electromechanics Testing Joint Stock Company,434-436 Nguyễn Trãi - P.Trung Văn - Q.Nam Từ Liêm - Tp.Hà Nội,(84.24) 3554 3792,024 35.54.37.90,http://emetc.com.vn/vi,,,,,
LCS,HASTC,2.7000,0,24194%,5.30,1.80,0.01,270.0,2%,8%,1.68,7600000,7600000,0,3724000,20520000,74093,0,84829,332241,417071,CTCP Licogi 166,Licogi 166 JSC,Tầng 4 - Tòa nhà JSC 34 - 164 Khuất Duy Tiến - Thanh Xuân - Hà Nội,(84.24) 2225 0718,024 22.25.07.16,http://licogi166.vn,,,,,
LCW,HASTC,10.0000,0,99701%,10.00,9.99,0.02,500.0,18%,20%,-0.24,21586514,21586514,0,0,215865140,35921,0,216405,16630,233035,CTCP Nước sạch Lai Châu,Lai Chau Clean Water Joint Stock Company,Số 009 - Đường Nguyễn Văn Linh - Tổ 22 - P. Đông Phong - TP. Lai Châu - T. Lai Châu,(84.213) 387 6297 - (84) 904 705 578,2133876926,http://capnuoclaichau.com.vn/,,,,,
LDP,HASTC,12.1000,0,139080%,19.40,8.60,-2.42,-5.0,-1628%,-2778%,1.35,12703167,12703167,0,1665979,153708326,225351,0,110523,78047,188570,CTCP Dược Lâm Đồng - Ladophar,Lam Dong Pharmaceutical JSC,Số 18 Ngô Quyền - P. 6 - TP. Đà Lạt - T. Lâm Đồng,(84.263) 382 1228 - 382 4669,02633 822 369,http://www.ladopharcorp.com,,,,,
LDW,HASTC,13.0000,0.1,15022%,13.04,13.00,2.67,4.9,245%,308%,0.24,13816193,13816193,0,0,179610509,247610,0,1195671,310180,1505851,CTCP Cấp thoát nước Lâm Đồng,Lam Dong Water Supply And Sewerage JSC,Số 50 Hùng Vương - P. 9 - Tp. Đà Lạt - T. Lâm Đồng,(063) 3 822 240 - (063) 3 834 304,,http://lawaco.com/,,,,,
LG9,HASTC,4.0000,0,26385%,8.20,3.60,0.28,14.3,36%,181%,0.46,5026600,5026600,0,0,20106400,0,0,76223,307208,383431,CTCP Cơ giới và Xây lắp Số 9,Mechanized Construction and Installation Joint Stock Company No9,Số 2 - Đường Số 1 - KCN Biên Hòa 1 - P. An Bình - Tp. Biên Hòa - T. Đồng Nai,(028) 3744 2059,2513836285,http://www.licogi9.com.vn,,,,,
LGM,HASTC,9.5000,0,143939%,14.00,7.00,-1.49,-6.4,-1041%,-2260%,0.68,7400000,7400000,0,0,70300000,0,0,48863,57206,106069,CTCP Giày da và May mặc Xuất khẩu,Leather Footwear and Garment Making Exporting Corporation,Số 15 Trường Sơn - P. 15 - Q.10 - Tp.HCM,(84.28) 2214 6213 - 2214 6215,,http://www.legamex.com.vn,,,,,
LHC,HASTC,81.9000,0.1,123195%,98.08,34.28,9.27,8.8,948%,1394%,1.18,7200000,7200000,0,1764000,589680011,926056,66721,478658,224808,703466,CTCP Đầu tư và Xây dựng Thủy lợi Lâm Đồng,Lam Dong Investment & Hydraulic Construction JSC,Số 87 Phù Đổng Thiên Vương - P 8 - Tp. Đà Lạt - Lâm Đồng,(84.263) 382 1854,+84-(0)63-38.32.542,http://www.lhc.com.vn,,,,,
LIC,HASTC,6.8000,0,127820%,9.70,5.00,0.43,15.8,87%,812%,0.81,90000000,90000000,0,0,612000017,2178492,38890,478904,4009096,4488000,Tổng Công ty LICOGI - CTCP,LICOGI Corporation - JSC,Nhà G1 - Số 491 đường Nguyễn Trãi - P. Thanh Xuân Nam - Q. Thanh Xuân - Tp. Hà Nội,(84.24) 3854 2365,024 3854 2655,www.licogi.com.vn,,,,,
LIG,HASTC,7.0000,0,36998%,9.30,2.90,0.38,18.4,29%,202%,1.93,41870432,42734232,863800,10736490,299139624,2799002,16034,792299,4725569,5517869,CTCP Licogi 13,Licogi 13 JSC,Tầng 4 - Licogi 13 tower - Số 164 - Đường Khuất Duy Tiến - P. Nhân Chính - Q. Thanh Xuân - Tp. Hà Nội,(84.24) 3854 4623,+84-(04)-38.54.41.07,http://www.licogi13.com.vn,,,,,
LINK-USD,HASTC,16.8000,0,N/A,52.20,7.10,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,Chainlink USD,Chainlink USD,,,,,,,,,
LKW,HASTC,35.0000,0,159019%,41.93,19.15,0.00,0.0,22%,25%,1.91,2500000,2500000,0,1194700,87500000,0,0,55014,8560,63574,CTCP Cấp nước Long Khánh,Long Khanh Water Supply Joint Stock Company,2Bis Cách Mạng Tháng 8 - P.Xuân Bình - TX.Long Khánh - T.Đồng Nai,(84.251) 387 7241,(084) 613.78.38.97,http://www.capnuoclongkhanh.com.vn,,,,,
LLM,HASTC,12.8000,0,94048%,22.50,12.50,0.72,17.8,74%,529%,1.32,79726104,79726104,0,0,1020494146,8985255,35378,1084944,6635497,7720440,Tổng Công ty Lắp máy Việt Nam - CTCP,Viet Nam Machinery Installation Corporation - JSC,Số 124 Minh Khai - Q. Hai Bà Trưng - Hà Nội,(84.24) 3863 7747,024 3863 8104,http://www.lilama.com.vn,,,,,
LM3,HASTC,1.2000,-0.1,N/A,2.30,0.70,-28.05,0.0,-9204%,2867%,0.38,5150000,5150000,0,2489700,6180000,106064,-2677,-503820,660749,156929,CTCP Lilama 3,Lilama 3 Joint Stock Company,Số 86 Tân Xuân - P. Xuân Đình - Q. Bắc Từ Liêm - Tp. Hà Nội,(84.24) 3818 2554,024 3-818-2550,http://www.lilama3.vn,,,,,
LM7,HASTC,4.0000,0,52701%,7.30,2.40,-0.75,-5.3,-218%,-991%,1.86,5000000,4957000,0,2450000,19828000,109420,0,37966,134374,172340,CTCP Lilama 7,Lilama 7 Joint Stock Company,332 Đường 2/9 - Q.Hải Châu - Tp.Đà Nẵng,(84.236) 364 2666,+84-(511)-362.17.22,http://www.lilama7.com.vn,,,,,
LMC,HASTC,10.8000,0,83851%,20.70,7.90,0.70,15.4,289%,546%,1.72,1500000,1500000,0,0,16200000,9569,0,19315,17182,36498,CTCP Khoáng sản Latca,Latca Mineral Joint Stock Company,Số 15A - Lô 10A KĐT Nam Trung Yên - P. Trung Hòa - Q. Cầu Giấy - Tp. Hà Nội,(84.24) 767 6867,024 767 6919,http://khoangsanlatca.com.vn/,,,,,
LMH,HASTC,8.0000,0,130506%,10.80,0.50,-0.84,-9.5,-411%,-1368%,1.49,25629995,25629995,0,0,205039960,363814,-16797,157087,365281,522368,CTCP Landmark Holding,Landmark Holding JSC,Số 132 Hàm Nghi - P. Bến Thành - Q. 1 - Tp. Hồ Chí Minh,(028) 7308 7997,,http://landmarkvn.com/,,,,,
