MaCK,SanCK,GiaHienTai,GiaSoSach,PB,CaoNhat52Tuan,ThapNhat52Tuan,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,TenCongTy,TenQuocTe,DiaChi,DienThoai,Fax,Website,,,,
HAX,HOSE,19.0000,0,117574%,27.75,8.81,4.81,4.0,1406%,2979%,1.49,36744405,36744405,0,5446922,698143695,6085651,176871,593656,664238,1257894,CTCP Dịch vụ Ô tô Hàng Xanh,Hang Xanh Motors Service Joint Stock Company,Số 333 Điện Biên Phủ - P. 15 - Q. Bình Thạnh - Tp. Hồ Chí Minh,(84.28) 3898 3416- 3512 0026,028 35120025,http://www.haxaco.com.vn,,,,
HBC,HOSE,12.7500,0,70873%,19.25,8.13,0.31,41.1,46%,171%,1.65,230875399,230875399,0,46279258,2943661337,11033016,70926,4153775,11410797,15564571,CTCP Tập đoàn Xây dựng Hòa Bình,Hoa Binh Construction Group Joint Stock Company,235 Võ Thị Sáu - P.7 - Q.3 - Tp.HCM,(84.3) 932 5030,839302097,www.hbcr.vn,,,,
HCD,HOSE,6.4000,0,50433%,7.01,2.34,0.04,160.0,25%,35%,1.75,27000000,27000000,0,6615000,172800003,529473,0,342736,135762,478498,CTCP Đầu tư Sản xuất và Thương mại HCD,HCD Investment Producing and Trading Joint Stock Company,Số 122B - P.Quang Trung - P.Quang Trung - Tp.Hải Dương - T.Hải Dương,(84.24) 3351 8419,(84-4) 3351 8430,www.hcdgroup.com.vn,,,,
HCM,HOSE,45.2500,0,289507%,54.50,15.47,2.68,16.9,545%,1712%,1.82,304631522,305256892,625370,62355811,13812874363,2964011,751278,4762168,10199662,14961830,CTCP Chứng khoán Thành phố Hồ Chí Minh,Ho Chi Minh City Securities Corporation,Lầu 5&6 Tòa nhà AB - Số 76 Lê Lai - P.Bến Thành - Q.1 - Tp.HCM,(84.28) 3823 3299,028 38.23.33.01,http://www.hsc.com.vn,,,,
HDB,HOSE,32.3500,0,151949%,37.40,18.11,3.97,8.1,151%,1864%,1.42,1240619957,1255698645,15078688,0,40621849250,24024929,5215836,26411472,299409970,325821442,Ngân hàng TMCP Phát triển TPHCM,HO CHI MINH CITY DEVELOPMENT JOINT STOCK COMMERCIAL BANK,25Bis Nguyễn Thị Minh Khai - P.Bến Nghé - Q.1 - Tp.HCM,(84.28) 6291 5916,028 6291 5901,http://www.hdbank.com.vn/,,,,
HDC,HOSE,58.1000,0,305629%,58.50,11.76,4.07,14.3,795%,2142%,1.44,65234593,65875422,640829,20145467,3827361918,1002032,265654,1240308,2102863,3343171,CTCP Phát triển Nhà Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau House Development JSC,Tầng 3 Hodeco Plaza - 36 Nguyễn Thái Học - P. 7 - Tp. Vũng Tàu,(84.254) 385 6274,+84-(0)64-385.62.05,http://www.hodeco.vn,,,,
HDG,HOSE,52.7000,0,186747%,53.50,16.63,6.73,7.8,739%,2385%,1.46,154275018,154275018,0,33841077,8130293566,5197493,1038619,4354200,9699153,14053353,CTCP Tập đoàn Hà Đô,Ha Do Group Joint Stock Company,08 Láng Hạ - P. Thành Công - Q. Ba Đình - Tp. Hà Nội,(84.24) 3831 0347 - 3831 0348,024 38.35.55.26,http://www.hado.com.vn,,,,
HHP,HOSE,10.1500,0,76546%,17.00,6.06,1.34,7.6,493%,1009%,1.24,18000000,18000000,0,0,182699993,566134,24089,238692,249563,488255,CTCP Giấy Hoàng Hà Hải Phòng,Hai Phong Hoang Ha Paper JSC,Số 194 - Đường Kiều Hạ - P. Đông Hải 2 - Q. Hải An - Tp. Hải Phòng,(84.225) 397 9952,0225 3979951,http://hhppaper.com/,,,,
HHS,HOSE,5.9000,0,42692%,8.08,3.53,0.98,6.0,675%,711%,1.68,274744063,274744063,0,134624590,1620989998,574345,270109,3797734,203253,4000987,CTCP Đầu tư Dịch vụ Hoàng Huy,Hoang Huy Investment Services Joint Stock Company,116 Nguyễn Đức Cảnh - P. Cát Dài - Q. Lê Chân - Tp. Hải Phòng,(84.225) 385 4626,0313 782 326,http://www.hoanghuyhhs.vn,,,,
HID,HOSE,5.6600,0,43505%,7.16,2.15,0.21,27.0,79%,163%,1.54,58765032,58765032,0,14700000,332610072,338298,16019,764337,803685,1568022,CTCP Halcom Việt Nam,Halcom Vietnam JSC,Tầng 9 Tòa nhà Hòa Bình - Số 106 Hoàng Quốc Việt - P. Nghĩa Đô - Q. Cầu Giấy - Hà Nội,(84.24) 3562 4709 - 3562 4710,(84-24) 35 624 711,http://www.halcom.vn/,,,,
HII,HOSE,15.9000,0,85807%,24.00,9.48,1697.00,0.0,5%,13%,1.30,32027500,32027500,0,0,509237238,4576228,54337,593462,1055566,1649028,CTCP An Tiến Industries,An Tien Industries JSC,KCN phía Nam - X. Văn Tiến - Tp. Yên Bái - T. Yên Bái,(84.216) 385 3886,,http://antienindustries.com/,,,,
HMC,HOSE,24.5000,0,115784%,27.10,10.73,6.00,4.1,1315%,2834%,1.19,21000000,21000000,0,10290000,514500000,3957219,0,444406,513137,957543,CTCP Kim khí Thành phố Hồ Chí Minh - Vnsteel,VNSTEEL - HOCHIMINH CITY METAL CORPORATION,Số 193 Đinh Tiên Hoàng - P. Đa Kao - Q. 1 - Tp. HCM,(84.28) 3829 4623 - 3823 0078,028 829.04.03,http://metalhcm.com.vn/,,,,
HNG,HOSE,8.2500,0,104828%,17.20,8.10,0.02,412.5,11%,29%,1.46,1108553895,1108553895,0,375900508,9145569634,1967585,18936,8724063,14764791,23488855,CTCP Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Hoang Anh Gia Lai Agricultural JSC,15 Trường Chinh - P. Phù Đổng - Tp. Pleiku - Tỉnh Gia Lai.,(84.269) 2222 283,059 222 2218,http://www.haagrico.com.vn/,,,,
HOT,HOSE,30.7500,0,347851%,50.00,25.35,-3.77,-8.2,-3645%,-4270%,1.36,8000000,8000000,0,3920000,246000000,13383,0,70699,12135,82833,CTCP Du lịch Dịch vụ Hội An,Hoi An Torurist Service Joint Stock Company,10 Trần Hưng Đạo - P.Minh An - Tp.Hội An - T.Quảng Nam,(84.235) 386 4733,0510 391 1099,http://www.hoiantourist.com,,,,
HPG,HOSE,45.8000,0,229115%,55.50,15.61,5.47,8.4,1305%,2738%,1.41,3313064059,3313173359,109300,359146195,151743337314,103287034,18130943,66221560,72760709,138982270,CTCP Tập đoàn Hòa Phát,Hoa Phat Group Joint Stock Company,KCN Phố Nối A - X. Giai Phạm - H. Yên Mỹ - T. Hưng Yên,(84.221) 394 2884 - (84.43) 974 7751,024 6283 3456,http://www.hoaphat.com.vn,,,,
HPX,HOSE,30.5000,0,253533%,42.45,22.26,1.00,30.5,409%,835%,0.83,306655140,306655140,0,0,9352981770,1219775,308144,3688837,3849459,7538296,CTCP Đầu tư Hải Phát,Hai Phat Investment JSC,Tầng 5 - Tòa CT3 - The Pride - Khu ĐTM An Hưng - P. La Khê - Q. Hà Đông - Hà Nội,(84.24) 3208 0666,0432 080566,http://www.haiphat.com.vn/,,,,
HQC,HOSE,3.0800,0,33846%,4.98,1.39,0.02,154.0,10%,17%,1.98,476600000,476600000,0,209034000,1467927964,528703,0,4337517,2709918,7047435,CTCP Tư vấn Thương mại Dịch vụ Địa Ốc Hoàng Quân,Hoang Quan Consulting-Trading-Service Real Estate Corporation,Số 286 - 288 Huỳnh Văn Bánh - P.11 - Q.Phú Nhuận - Tp.HCM,(84.28) 6292 8617,862928486,http://hoangquan.com.vn,,,,
HRC,HOSE,64.2000,0,360269%,77.00,35.20,0.33,194.5,97%,186%,1.19,30206610,30206616,6,14801244,1939264655,194981,0,538140,489022,1027163,CTCP Cao su Hòa Bình,Hoa Binh Rubber Joint Stock Company,Ấp 7 - X.Hòa Bình - H.Xuyên Mộc - T.Bà Rịa Vũng Tàu,(84.254) 387 2104,+84-(0)64-387.34.95,http://www.horuco.com.vn,,,,
HSG,HOSE,34.9500,0,192244%,43.00,8.64,5.34,6.5,1081%,2939%,1.81,444625213,444625213,0,96304516,15539651534,35421794,2375398,8081205,13888143,21969348,CTCP Tập đoàn Hoa Sen,Hoa Sen Group,Số 9 Đại lộ Thống Nhất - KCN Sóng Thần II - P. Dĩ An - TX. Dĩ An - T. Bình Dương,(84.274) 379 0955,0650 3790 888,http://www.hoasengroup.vn,,,,
HSL,HOSE,6.5900,0,45137%,8.05,3.91,0.84,7.8,511%,577%,1.47,17167144,17167144,0,0,113131482,248061,14463,250569,32739,283308,CTCP Đầu tư Phát triển Thực phẩm Hồng Hà,Hong Ha Food Investment Development JSC,Bản Cung Tà Làng - X. Tú Nang - H. Yên Châu - T. Sơn La,(84-24) 6296 2699,0212 6255599,http://honghagroup.com.vn,,,,
HT1,HOSE,15.0000,0,104457%,19.25,11.39,1.59,9.4,660%,1106%,1.26,381493911,381541911,48000,155820000,5723128665,8462870,605605,5477191,3695458,9172649,CTCP Xi măng Hà Tiên 1,Ha Tien 1 Cement Joint Stock Company,360 Bến Chương Dương - P.Cầu Kho - Q.1 - Tp.HCM,(84.28) 3836 8363,028 38 361 278,http://www.hatien1.com.vn,,,,
HTI,HOSE,15.3000,0,81557%,18.63,9.91,2.41,6.3,372%,1286%,0.90,24949200,24949200,0,12225108,381722765,382745,0,467987,1151353,1619341,CTCP Đầu tư Phát triển Hạ tầng IDICO,IDICO Infrastructure Development Investment Joint Stock Company,Km 1906+700 Quốc lộ 1A - KP 5 - P.Bình Hưng Hòa - Q.Bình Tân - Tp.HCM,(84.24) 3750 3042,028 37.50.28.25,http://www.idico-idi.com.vn,,,,
HTL,HOSE,17.2000,0,107299%,19.90,11.20,2.66,6.5,941%,1660%,1.21,12000000,12000000,0,5880000,206400009,858417,0,192308,147068,339375,CTCP Kỹ thuật và Ôtô Trường Long,Truong Long Auto & Technology Joint Stock Company,Lô 46 - Đường số 3 - KCN.Tân Tạo - P.Tân Tạo A - Q.Bình Tân - Tp.HCM,(84.28) 3754 3188,028 37.54.31.89,http://www.truonglong.com,,,,
HTN,HOSE,33.4000,0,82878%,47.50,13.61,8.80,3.8,493%,2185%,1.46,33062221,33062221,0,0,1104278232,4652586,291095,1332490,4574211,5906701,CTCP Hưng Thịnh Incons,Hung Thinh Incons Joint Stock Company,Số 53 Trần Quốc Thảo - P. 7 - Q. 3 - Tp. Hồ Chí Minh,(84.28) 7307 5888,,http://www.hungthinhincons.com.vn/homepages.html,,,,
HTV,HOSE,13.8000,0,52813%,15.80,11.03,1.88,7.3,597%,719%,0.82,13104000,13104000,0,6420960,180835202,283525,24607,342362,69794,412156,CTCP Vận tải Hà Tiên,Ha Tien Transport Joint Stock Company,296 Trần Não - Khu phố 2 - P.Bình An - Q.2 - Tp.HCM,(84.28) 3897 8924 - 3896 4751,028 389 661 69,http://www.vantaihatien.com.vn,,,,
HU1,HOSE,8.2900,0,86806%,11.00,4.97,0.33,25.1,53%,343%,1.35,16000000,16000000,0,4900000,132639999,563978,5249,152866,829716,982582,CTCP Đầu tư và Xây dựng HUD1,HUD1 Investment & Construction Joint Stock Company,Số 168 Giải Phóng - P. Phương Liệt - Q. Thanh Xuân - Tp. Hà Nội,(84.24) 3868 7557,024 38.68.65.57,www.hud1.com.vn,,,,
HU3,HOSE,8.1000,0,53714%,8.50,5.60,0.44,18.4,168%,295%,0.94,9999944,9999944,0,4899972,80999550,145969,0,150785,114377,265162,CTCP Đầu tư và Xây dựng HUD3,HUD3 Investment and Construction Joint Stock Company,HUD3 Tower 121-123 Tô Hiệu - P.Nguyễn Trãi - Q.Hà Đông - TP.Hà Nội,(84.24) 3382 4572,024 33.82.79.91,http://www.hud3.com.vn,,,,
HUB,HOSE,23.8000,0,96787%,29.90,13.66,3.29,7.2,824%,1338%,0.90,19057316,19057316,0,0,453564106,453440,62732,468692,292316,761008,CTCP Xây lắp Thừa Thiên Huế,Thua Thien Hue Construction Corporation,Lô 9 Phạm Văn Đồng - Tp.Huế.,(84.234) 382 1510,,http://www.xaylaphue.com.vn/,,,,
HVH,HOSE,8.8800,0,41360%,12.45,6.50,0.97,9.2,371%,450%,1.30,21949995,21949995,0,0,194915958,394927,21223,471221,100338,571559,CTCP Đầu tư và Công nghệ HVC,HVC Investment and Technology JSC,Tầng 8, tòa tháp C – Hồ Gươm Plaza, số 102 Trần Phú - P. Mộ Lao - Q. Hà Đông, Tp. Hà Nội,(84.24) 3540 2246,,www.hvcgroup.net,
HVN,HOSE,24.5000,0,3356164%,33.80,21.65,-9.25,-2.6,-2166%,-127334%,1.19,1418290847,1418290847,0,0,34748125752,29416977,-13120226,1030378,59549685,60580063,Tổng Công ty Hàng không Việt Nam - CTCP,Vietnam Airlines JSC,Số 200 Nguyễn Sơn - P. Bồ Đề - Q. Long Biên - TP. Hà Nội,(84.24) 3827 2289,024 38 720 429,http://www.vietnamairlines.com,,,,
HVX,HOSE,4.9000,0,46270%,7.12,2.80,0.10,49.0,52%,92%,1.95,41525250,38525250,0,19580401,188773729,611859,0,439605,336049,775654,CTCP Xi măng VICEM Hải Vân,Vicem Hai Van Cement Joint Stock Company,65 Nguyễn Văn Cừ - Q.Liên Chiểu - Tp.Đà Nẵng,(84.236) 384 2172,+84-(0)511-384.24.41,http://www.haivancement.vn,,,,
IBC,HOSE,21.6000,0,167572%,25.60,20.40,0.75,28.8,186%,581%,0.51,81589735,81589735,0,0,1762338307,1796686,0,1053943,2411358,3465302,CTCP Đầu tư Apax Holdings,Apax Holdings Joint Stock Company,Tầng 4 - Tòa tháp A - Tòa nhà Sky City Tower - Số 88 Phố Láng Hạ - P. Láng Hạ - Q. Đống Đa - Tp. Hà Nội,(84.6) 292 9003 - (84.24) 6262 9588,+84 4 6262 9588,www.apaxholdings.com.vn,,,,
ICT,HOSE,16.5500,0,74482%,28.00,16.40,2.37,7.0,393%,1067%,1.17,32185000,32185000,0,0,532661725,1982562,0,715209,1224476,1939685,CTCP Viễn thông - Tin học Bưu điện,Joint Stock Company For Telecom & Informatics,Ngõ 158/2 Phố Hồng Mai - P. Quỳnh Lôi - Q. Hai Bà Trưng - Tp. Hà Nội,(84.24) 3863 4597,,http://www.ct-in.com.vn/,,,,
IDI,HOSE,5.7500,0,22487%,7.95,3.37,0.86,6.7,135%,336%,1.73,118088708,118088708,0,88988738,679010071,6280959,101437,3019796,4507359,7527155,CTCP Đầu tư và Phát triển Đa Quốc Gia - IDI,I.D.I International Development & Investment Corporation,Quốc lộ 80 - CCN Vàm Cống - Ấp. An Thạnh - X. Bình Thành - H. Lấp Vò - T. Đồng Tháp,(84.277) 368 0383 - 221 6345 - 629 6802,0673. 680 434,http://www.idiseafood.com,,,,
IJC,HOSE,23.9500,0,97636%,32.85,8.57,3948.00,0.0,8%,16%,1.88,137097323,137097323,0,134355317,3283480990,2235399,0,3363596,3240664,6604261,CTCP Phát triển Hạ tầng Kỹ thuật,Becamex Infrastructure Development JSC,Tầng 5 Becamex Tower - 230 Đại lộ Bình Dương - Phú Hòa - Bình Dương,(84.274) 384 8789,+84-(0)650-384.86.78,http://www.becamexijc.com,,,,
ILB,HOSE,29.2000,0,155154%,28.06,14.27,2.66,11.0,451%,1414%,1.22,24502245,24502245,0,0,715465573,473139,65210,461100,984011,1445110,CTCP ICD Tân Cảng - Long Bình,ICD Tan Cang – Long Binh Joint Stock Company,G243 Bùi Văn Hòa - Khu phố 7 - P.Long Bình - Tp.Biên Hòa - T.Đồng Nai,(84.251) 625 5999,2516501826,www.icdlongbinh.com,,,,
IMP,HOSE,71.1000,0,257702%,80.50,38.91,3.28,21.7,963%,1187%,0.89,64236070,64236070,0,14181896,4567184479,1410419,0,1772342,412170,2184511,CTCP Dược phẩm Imexpharm,Imexpharm Corporation,Số 4 Đường 30/4 - P. 1 - Tp. Cao Lãnh - T. Đồng Tháp,(84.277) 385 1620,0277 385 3106,http://www.imexpharm.com,,,,
ITA,HOSE,6.0400,0,52294%,9.10,3.59,0.21,28.8,143%,178%,1.87,937303610,937883608,579998,410765520,5664816957,733773,192343,10830011,2667664,13497674,CTCP Đầu tư và Công nghiệp Tân Tạo,Tan Tao Investment and Industry Corporation,Lô 16 - Đường 2 - KCN Tân Tạo - P. Tân Tạo A - Q. Bình Tân - Tp. Hồ Chí Minh,(84.28) 3750 5171,8.37508237,http://www.itaexpress.com.vn,,,,
ITC,HOSE,12.7000,0,50943%,20.10,12.18,1.83,6.9,319%,734%,1.09,78845574,79285934,440360,33852477,1006931347,1091836,144337,1965847,2561072,4526919,CTCP Đầu tư và Kinh doanh Nhà,Investment and Trading Of Real Estate JSC,18 Nguyễn Bỉnh Khiêm - P.Đakao - Q.1 -Tp.HCM,(84.28) 3823 0256,028 38.29.37.64,http://www.intresco.com.vn,,,,
ITD,HOSE,17.3500,0,97636%,18.50,7.78,1.84,9.4,592%,1036%,1.13,19064798,19064798,0,7509238,330774253,595378,35737,339343,254058,593401,CTCP Công nghệ Tiên Phong,Innovative Technology Development Corporation,Tầng 4 Tòa nhà ITD - 01 Đường Sáng Tạo - KCX Tân Thuận - P. Tân Thuận Đông - Q. 7 - Tp. Hồ Chí Minh,(84.28) 3770 1114,028 37701116,http://www.itd.com.vn,,,,
JVC,HOSE,3.8800,0,96040%,6.59,3.17,-0.68,-5.7,-1222%,-1687%,1.69,112500171,112500171,0,55125083,436500676,411627,0,454719,173514,628233,CTCP Thiết bị Y tế Việt Nhật,Japan Vietnam Medical Instrument Joint Stock Company,Tầng 24 - Tòa nhà ICON 4 - 243A Đê La Thành - P. Láng Thượng - Q. Đống Đa - Tp. Hà Nội,(84.24) 3863 0516,436830578,http://ytevietnhat.com.vn/,,,,
KBC,HOSE,32.1000,0,130967%,45.50,12.40,1.63,19.7,299%,665%,1.71,463809856,469760511,5950655,233098471,15079311686,3600679,756405,11367534,13911873,25279407,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,Kinh Bac City Development Share Holding Corporation,Lô 7B KCN Quế Võ - X.Phương Liễu - H.Quế Võ -T.Bắc Ninh,(84.222) 363 4034,+84-(0)241-363.40.35,http://www.kinhbaccity.vn,,,,
KDC,HOSE,61.0000,0,197539%,62.00,27.39,1.12,54.5,220%,364%,0.63,253668885,255161141,1492256,125760164,15564829601,9097805,285118,7833798,5104615,12938413,CTCP Tập đoàn KIDO,KIDO Group,138-142 Hai Bà Trưng - P.Đa Kao - Q.1 - TP.HCM,(84.28) 3827 0468,028 38.27.04.69,www.kdc.vn,,,,
KDH,HOSE,38.4000,0,265744%,39.20,19.38,2.08,18.5,887%,1438%,1.03,578657219,578657219,0,88200000,22220438093,4756760,1202576,8363886,5186924,13550810,CTCP Đầu tư và Kinh doanh Nhà Khang Điền,Khang Dien House Trading and Investment JSC,Phòng 1 và 2 Lầu 11 SaiGon Centre - 67 Lê Lợi - P. Bến Nghé - Q.1 - Tp. Hồ Chí Minh,(84.28) 3820 8858,84-8 38208859,http://www.khangdien.com.vn,,,,
KHP,HOSE,6.3400,0,59032%,7.95,5.43,-0.40,-15.9,-111%,-369%,0.97,54571016,56071016,1500000,20360135,355490250,4390639,0,586033,1355292,1941325,CTCP Điện lực Khánh Hòa,Khanh Hoa Power Joint Stock Company,Số 11 Lý Thánh Tôn - P. Vạn Thanh - Tp.Nha Trang - T.Khánh Hòa,(84.258) 222 0220,0258.3823828,https://pckhanhhoa.cpc.vn/,,,,
KMR,HOSE,7.7900,0,73352%,9.38,2.07,0.03,259.7,16%,30%,1.63,56881443,56881443,0,48881443,443106439,417718,0,604360,507163,1111522,CTCP Mirae,Mirae Joint Stock Company,Khu phố 1B - P. An Phú - Thành phố.Thuận An - T. Bình Dương,(84.274) 379 1038,+84-(0)650-79.10.37,http://www.miraejsc.com,,,,
KOS,HOSE,28.6000,0,273161%,29.00,20.24,0.18,158.9,114%,169%,0.52,165031335,165031335,0,0,4719896244,1350079,0,1728346,820099,2548445,CTCP KOSY,KOSY Joint Stock Company,B6-BT5 - Khu đô thị mới Mỹ Đình 2 - Q. Nam Từ Liêm - Tp. Hà Nội,(84.24) 3783 3660 - 3837 8866,04 37833661,http://kosy.vn/,,,,
KPF,HOSE,9.9000,0,74717%,17.96,8.24,1.67,5.9,174%,1262%,1.25,19819641,19819641,0,7644000,196214438,40000,33139,262546,1641176,1903722,CTCP Đầu tư Tài chính Hoàng Minh,Hoang Minh Finance Investment Joint Stock Company,Tầng 17 Tòa nhà Geleximco - Số 36 Phố Hoàng Cầu - P. Ô Chợ Dừa - Q. Đống Đa - Tp. Hà Nội,(84.24) 3997 0803,38686263,http://kpf.com.vn,,,,
KSB,HOSE,23.4500,0,92069%,32.45,15.15,5.01,4.7,827%,1968%,1.64,63797678,64133078,335400,11466000,1503920728,1274243,0,1625110,2239388,3864497,CTCP Khoáng sản và Xây dựng Bình Dương,Binh Duong Mineral and Construction Joint Stock Company,Đại lộ Bình Dương - KP. Hòa Lân 1 - P. Thuận Giao - Tx. Thuận An - T. Bình Dương,(84.274) 382 2602,+84-(0)650-382.39.22,http://www.bimico.com.vn,,,,
L10,HOSE,15.2500,0,58340%,20.05,11.36,1.92,7.9,181%,735%,1.45,9690000,9790000,100000,4846100,149297500,1321382,0,253279,774593,1027872,CTCP Lilama 10,Lilama 10 Joint Stock Company,Tòa nhà Lilama 10 - Phố Tố Hữu - P.Trung Văn - Q.Nam Từ Liêm - Tp.Hà Nội,(84.24) 3864 9584,024 3864.95.81,http://www.lilama10.com,,,,
LBM,HOSE,61.4000,0,145085%,63.80,28.25,7.61,8.1,1559%,1798%,1.00,9315000,9657500,342500,4165000,592970515,641876,70867,394193,60522,454714,CTCP Khoáng sản và Vật liệu Xây dựng Lâm Đồng,Lam Dong Minerals & Building Materials Joint Stock Company,87 Phù Đổng Thiên Vương - Phường 8 - Thành phố Đà Lạt - Tỉnh Lâm Đồng,(84.6) 3383 2511,02633 830 142,http://www.lbm-vn.vn,,,,
LCG,HOSE,11.7500,0,72352%,17.00,6.57,3.03,3.9,611%,1866%,1.73,117248510,117248510,0,37362478,1377669992,3617149,355203,1903832,3911276,5815108,CTCP Licogi 16,Licogi 16 Joint Stock Company,Tòa nhà 24A Phan Đăng Lưu - P. 6 - Q. Bình Thạnh - Tp. HCM,(84.28) 3841 1375,028 3841.13.76,http://licogi16.vn/vi/home,,,,
LCM,HOSE,2.6700,0,28865%,3.44,0.61,0.16,16.7,153%,169%,2.05,24633000,24633000,0,12070170,65770112,29226,3857,227752,25123,252875,CTCP Khai thác và Chế biến khoáng sản Lào Cai,Lao Cai Mineral Exploitation & Processing JSC,Số nhà 28B - Đường Phan Đình Giót - P. Phố Mới - Tp. Lào Cai - T. Lào Cai,(84.214) 383 0036 - (84) 913 286 242,203830036,http://khoangsanlaocai.com.vn,,,,
LDG,HOSE,5.9700,0,46207%,9.08,5.39,0.05,119.4,20%,38%,1.56,240212451,240212451,0,36750000,1434068282,1441527,11842,3104712,2702797,5807509,CTCP Đầu tư LDG,LDG Investment Joint Stock Company,Số 104/4 - Ấp Hòa Bình - X. Giang Điền - H. Trảng Bom - T. Đồng Nai,(84.251) 896 6666,(061) 896 6668,http://www.ldggroup.vn,,,,
LEC,HOSE,11.1500,0,84534%,17.80,10.40,0.07,159.3,19%,52%,1.30,26100000,26100000,0,0,291014990,550850,1780,344280,602750,947030,CTCP Bất động sản Điện lực Miền Trung,Central Power Real Estate Joint Stock Company,Lô A5 Đường Phạm Văn Đồng - P. An Hải Bắc - Q. Sơn Trà - Tp. Đà Nẵng,(84.236) 246 6466,0236 3938 445,http://lec.com.vn/,,,,
LGC,HOSE,53.4000,0,226080%,85.00,41.52,1.86,28.7,295%,788%,1.13,192018345,192436555,418210,65127054,10276112331,742302,357618,4535612,7572691,12108303,CTCP Đầu tư Cầu đường CII,CII Bridges & Roads Investment JSC,70 Lữ Gia - P.15 - Q.11 - Tp.HCM,(84.28) 3868 8239 - 3868 8379,028 386 881 89,http://ciibr.com.vn,,,,
LGL,HOSE,6.0700,0,42507%,7.79,4.19,1.10,5.5,333%,768%,1.47,52994200,52997100,2900,9799644,321692406,160739,58157,756790,988996,1745785,CTCP Đầu tư và Phát triển Đô thị Long Giang,Long Giang Investment & Urban Development JSC,173 Xuân Thuỷ - Q.Cầu Giấy - Tp.Hà Nội,(84.24) 3795 0595 - 3795 0596 - 3795 0597 - 3795 0598,024 3795 0099,http://www.longgiangland.com.vn,,,,
LHG,HOSE,48.4000,0,183891%,49.20,18.35,3.30,14.7,560%,1254%,1.28,49983022,49997516,14494,12780487,2419879851,579316,165000,1315696,1629154,2945494,CTCP Long Hậu,Long Hau Corporation,Ấp 3 - X.Long Hậu - H.Cần Giuộc - T.Long An,(84.28) 3781 8929,028 37.81.89.40,http://www.longhau.com.vn,,,,
LIX,HOSE,57.1000,0,271388%,62.41,47.18,6.49,8.8,1997%,3084%,0.74,32400000,32400000,0,15876000,1850039951,2794536,0,681650,370917,1052567,CTCP Bột Giặt Lix,Lix Detergent Joint Stock Company,Số 3 đường số 2 - Khu phố 4 - P.Linh Trung - Q.Thủ Đức - Tp.HCM,(84.28) 3896 6803 - 3896 0389,028 3 8967 522,http://www.lixco.com,,,,
LM8,HOSE,9.8000,0,31350%,14.05,9.40,0.84,11.7,54%,269%,1.14,9388682,9388682,0,4600454,92009085,1471624,0,293449,1156837,1450286,CTCP Lilama 18,Lilama 18 Joint Stock Company,Số 09-19 Hồ Tùng Mậu - P.Nguyễn Thái Bình - Q.1 - Tp.HCM,(84.28) 3829 8490,+84-(8)-38.21.08.53,http://www.lilama18.com.vn,,,,
LPB,HOSE,23.6000,0,188048%,30.22,6.33,1872.00,0.0,1%,15%,1.52,1203595585,1074638915,0,0,25361478804,18525217,2253226,15108700,230099514,245208214,Ngân hàng TMCP Bưu điện Liên Việt,LienViet Post Joint Stock Commercial Bank,Tầng 1,3,4,5,6 Tòa nhà Thaiholdings Tower Số 210 đường Trần Quang Khải - P. Tràng Tiền - Q. Hoàn Kiếm - Tp. Hà Nội,(84.28) 6266 8668,(84-24) 6266 9669,https://www.lienvietpostbank.com.vn
LSS,HOSE,9.5000,0,43458%,14.30,4.57,0.21,45.2,53%,96%,1.73,70000000,70000000,0,34300000,665000000,1478826,14622,1530517,1206436,2736953,CTCP Mía Đường Lam Sơn,Lam Son Sugar Joint Stock Corporation,TT.Lam Sơn - H.Thọ Xuân - T.Thanh Hóa,(84.237) 383 4091,037.383.40.92,http://lasuco.com.vn,,,,
MBB,HOSE,27.7500,0,195148%,32.19,9.80,2743.00,0.0,2%,20%,1.46,3778320942,2824372373,25616120,326236363,78376333351,33700188,10362432,53723765,457233731,510957496,Ngân hàng TMCP Quân Đội,Military Commercial Joint Stock Bank,Số 63 Lê Văn Lương - P. Trung Hòa - Q. Cầu Giấy - Tp. Hà Nội,(84.24) 6266 1088,,http://www.mbbank.com.vn,,,,
MCG,HOSE,2.9000,0,51971%,4.49,1.52,-0.02,-145.0,-9%,-33%,1.67,46590000,52050000,5460000,28179900,150945005,110641,-2397,260097,751700,1011797,CTCP Cơ điện và Xây dựng Việt Nam,Vietnam Mechanization Electrification & Construction JSC,Ngõ 102 Trường Chinh - P.Phương Mai - Q.Đống Đa - Hà Nội,(84-24) 3869 1229,024 38.69.15.68,http://www.mecojsc.vn,,,,
MCP,HOSE,24.5000,0,168617%,37.00,14.00,1.37,17.9,583%,942%,0.94,15034621,15052979,18358,7384955,368797986,350497,0,218402,134247,352649,CTCP In và Bao bì Mỹ Châu,My Chau Printing & Packaging Holdings Company,Số 18 Lũy Bán Bích - P.Tân Thới Hòa - Q.Tân Phú - Tp.HCM,(84.28) 3961 2844,028 39.61.27.37,http://www.mychau.com.vn,,,,
